Date,Open,High,Low,Close,Volume,Adj Close
2012-10-15,13329.54004,13437.66016,13325.92969,13424.23047,114880000,13424.23047
2012-10-16,13423.83984,13556.37012,13423.75977,13551.78027,113450000,13551.78027
2012-10-17,13539.62988,13561.65039,13468.90039,13557,135570000,13557
2012-10-18,13553.24023,13588.73047,13510.92969,13548.94043,128410000,13548.94043
2012-10-19,13545.33008,13545.49023,13312.21973,13343.50977,239080000,13343.50977
2012-10-22,13344.28027,13368.54981,13235.15039,13345.88965,121880000,13345.88965
2012-10-23,13344.90039,13344.90039,13083.28027,13102.53027,122220000,13102.53027
2012-10-24,13103.53027,13155.20996,13063.62988,13077.33984,110670000,13077.33984
2012-10-25,13079.63965,13214.11035,13017.37012,13103.67969,114590000,13103.67969
2012-10-26,13104.21973,13151.71973,13040.16992,13107.20996,134640000,13107.20996
2012-10-31,13107.44043,13189.08008,13052.07031,13096.45996,138160000,13096.45996
2012-11-01,13099.19043,13273.70996,13099.11035,13232.62012,140510000,13232.62012
2012-11-02,13232.62012,13289.4502,13076.57031,13093.16016,137660000,13093.16016
2012-11-05,13092.28027,13140.58008,13038.70996,13112.44043,95350000,13112.44043
2012-11-06,13112.90039,13290.75,13112.90039,13245.67969,105710000,13245.67969
2012-11-07,13228.24023,13228.32031,12876.59961,12932.73047,164250000,12932.73047
2012-11-08,12932.80957,12980.23047,12811.24023,12811.32031,138350000,12811.32031
2012-11-09,12811.16992,12890.19043,12743.38965,12815.38965,131670000,12815.38965
2012-11-12,12815.92969,12861.28027,12783,12815.08008,62360000,12815.08008
2012-11-13,12808.70996,12898.25,12748.50977,12756.17969,142200000,12756.17969
2012-11-14,12746.54004,12797.73047,12542.67969,12570.9502,162180000,12570.9502
2012-11-15,12571.09961,12600.58984,12496.55957,12542.37988,129150000,12542.37988
2012-11-16,12542.30957,12604.16992,12471.49023,12588.30957,197110000,12588.30957
2012-11-19,12590.23047,12796.19043,12590.23047,12795.95996,136910000,12795.95996
2012-11-20,12790.88965,12808.55957,12701.07031,12788.50977,134160000,12788.50977
2012-11-21,12788.36035,12845.99023,12786.12988,12836.88965,97300000,12836.88965
2012-11-23,12833.12988,13011.4502,12832.98047,13009.53027,61110000,13009.53027
2012-11-26,13008.4502,13008.4502,12900.16992,12967.37012,114360000,12967.37012
2012-11-27,12963.37988,12980.19043,12868.25977,12878.12988,117900000,12878.12988
2012-11-28,12875.55957,12989.09961,12765.32031,12985.11035,131000000,12985.11035
2012-11-29,12977.34961,13062.55957,12961.91992,13021.82031,113620000,13021.82031
2012-11-30,13022.04981,13053.74023,12988.67969,13025.58008,171070000,13025.58008
2012-12-03,13027.73047,13087.32031,12959.41992,12965.59961,112900000,12965.59961
2012-12-04,12966.4502,13022.50977,12940.07031,12951.78027,125290000,12951.78027
2012-12-05,12948.95996,13089.11035,12923.44043,13034.49023,161230000,13034.49023
2012-12-06,13026.19043,13076.87988,13007.83984,13074.04004,116850000,13074.04004
2012-12-07,13072.87012,13157.28027,13072.87012,13155.12988,124130000,13155.12988
2012-12-10,13154.88965,13195.34961,13139.08008,13169.87988,118530000,13169.87988
2012-12-11,13170.33984,13306.57031,13170.33984,13248.44043,124510000,13248.44043
2012-12-12,13250.04981,13329.44043,13227.44043,13245.4502,127510000,13245.4502
2012-12-13,13241.37988,13264.41016,13147.19043,13170.71973,101190000,13170.71973
2012-12-14,13170.79981,13190.41016,13118.45996,13135.00977,117620000,13135.00977
2012-12-17,13135.16992,13244.33008,13134.62988,13235.38965,142980000,13235.38965
2012-12-18,13236.61035,13365.86035,13232.58008,13350.95996,152920000,13350.95996
2012-12-19,13351.04004,13357.7002,13251.74023,13251.96973,149020000,13251.96973
2012-12-20,13246.66992,13314.63965,13216.03027,13311.71973,119800000,13311.71973
2012-12-21,13309.9502,13309.9502,13122.53027,13190.83984,413270000,13190.83984
2012-12-24,13190.15039,13190.37988,13128.54981,13138.92969,47710000,13138.92969
2012-12-26,13138.84961,13174.87988,13076.87012,13114.58984,79410000,13114.58984
2012-12-27,13114.96973,13141.74023,12964.08008,13096.30957,100160000,13096.30957
2012-12-28,13095.08008,13095.45996,12926.86035,12938.11035,85980000,12938.11035
2012-12-31,12938.19043,13109.12988,12883.88965,13104.13965,145740000,13104.13965
2013-01-02,13104.29981,13412.70996,13104.29981,13412.54981,161430000,13412.54981
2013-01-03,13413.00977,13430.59961,13358.29981,13391.36035,129630000,13391.36035
2013-01-04,13391.04981,13447.11035,13376.23047,13435.20996,107590000,13435.20996
2013-01-07,13436.12988,13436.12988,13343.32031,13384.29004,113120000,13384.29004
2013-01-08,13377.41992,13377.41992,13293.12988,13328.84961,129570000,13328.84961
2013-01-09,13329.91992,13416.54981,13329.08008,13390.50977,123070000,13390.50977
2013-01-10,13391.82031,13478.2002,13382.29004,13471.21973,133520000,13471.21973
2013-01-11,13471.4502,13496.67969,13439.96973,13488.42969,119200000,13488.42969
2013-01-14,13488.42969,13520.17969,13459.83984,13507.32031,118460000,13507.32031
2013-01-15,13507.32031,13546.37012,13445.79981,13534.88965,102280000,13534.88965
2013-01-16,13534.88965,13534.88965,13468.95996,13511.23047,118540000,13511.23047
2013-01-17,13511.23047,13633.88965,13510.24023,13596.01953,183900000,13596.01953
2013-01-18,13596.01953,13649.92969,13571.86035,13649.7002,260900000,13649.7002
2013-01-22,13649.7002,13712.20996,13622.95996,13712.20996,144300000,13712.20996
2013-01-23,13712.20996,13794.29004,13710.12988,13779.33008,104490000,13779.33008
2013-01-24,13779.33008,13879.66016,13779.33008,13825.33008,124780000,13825.33008
2013-01-25,13825.33008,13895.98047,13825.33008,13895.98047,130300000,13895.98047
2013-01-28,13895.98047,13915.71973,13862.57031,13881.92969,113570000,13881.92969
2013-01-29,13881.92969,13969.99023,13880.00977,13954.41992,108230000,13954.41992
2013-01-30,13954.41992,13966.12988,13896.9502,13910.41992,117200000,13910.41992
2013-01-31,13910.41992,13941.05957,13860.58008,13860.58008,142600000,13860.58008
2013-02-01,13860.58008,14019.78027,13860.58008,14009.79004,128420000,14009.79004
2013-02-04,14009.79004,14009.79004,13866.83008,13880.08008,130420000,13880.08008
2013-02-05,13880.08008,14013.59961,13880.08008,13979.29981,134390000,13979.29981
2013-02-06,13979.29981,13991.61035,13913.17969,13986.51953,127560000,13986.51953
2013-02-07,13986.51953,13988.05957,13852.2002,13944.04981,118530000,13944.04981
2013-02-08,13944.04981,14022.62012,13944.04981,13992.96973,99860000,13992.96973
2013-02-11,13992.96973,13992.96973,13940.41016,13971.24023,75090000,13971.24023
2013-02-12,13971.24023,14038.96973,13968.94043,14018.7002,117180000,14018.7002
2013-02-13,14018.7002,14029.34961,13945.78027,13982.91016,130520000,13982.91016
2013-02-14,13982.91016,13990.36035,13921.94043,13973.38965,114800000,13973.38965
2013-02-15,13973.38965,14001.92969,13906.73047,13981.75977,195670000,13981.75977
2013-02-19,13981.75977,14044.82031,13977.90039,14035.66992,136410000,14035.66992
2013-02-20,14035.66992,14058.26953,13919.28027,13927.54004,138540000,13927.54004
2013-02-21,13927.54004,13927.54004,13834.40039,13880.62012,131410000,13880.62012
2013-02-22,13880.62012,14001.19043,13880.62012,14000.57031,139850000,14000.57031
2013-02-25,14000.57031,14081.58008,13784.00977,13784.16992,152190000,13784.16992
2013-02-26,13784.16992,13918.44043,13784.16992,13900.12988,132580000,13900.12988
2013-02-27,13900.12988,14104.86035,13880.19043,14075.37012,107010000,14075.37012
2013-02-28,14075.37012,14149.15039,14050.17969,14054.49023,177150000,14054.49023
2013-03-01,14054.49023,14107.08984,13937.59961,14089.66016,125920000,14089.66016
2013-03-04,14089.66016,14128.20996,14030.37012,14127.82031,110810000,14127.82031
2013-03-05,14127.82031,14286.37012,14127.82031,14253.76953,112100000,14253.76953
2013-03-06,14253.76953,14320.65039,14253,14296.24023,116510000,14296.24023
2013-03-07,14296.24023,14354.69043,14296.24023,14329.49023,117080000,14329.49023
2013-03-08,14329.49023,14413.16992,14329.49023,14397.07031,115630000,14397.07031
2013-03-11,14397.07031,14448.05957,14373.32031,14447.29004,94880000,14447.29004
2013-03-12,14447.29004,14478.79981,14412.05957,14450.05957,102100000,14450.05957
2013-03-13,14450.05957,14472.79981,14411.66016,14455.28027,83920000,14455.28027
2013-03-14,14455.28027,14539.29004,14455.28027,14539.13965,117390000,14539.13965
2013-03-15,14539.13965,14539.13965,14470.5,14514.11035,407770000,14514.11035
2013-03-18,14514.11035,14521.58984,14404.20996,14452.05957,119640000,14452.05957
2013-03-19,14452.05957,14514.33984,14382.08984,14455.82031,122170000,14455.82031
2013-03-20,14455.82031,14546.82031,14455.82031,14511.73047,121240000,14511.73047
2013-03-21,14511.73047,14511.73047,14383.01953,14421.49023,110450000,14421.49023
2013-03-22,14421.49023,14519.9502,14421.49023,14512.03027,101450000,14512.03027
2013-03-25,14512.03027,14563.75,14395,14447.75,124840000,14447.75
2013-03-26,14447.75,14561.54004,14447.75,14559.65039,96030000,14559.65039
2013-03-27,14559.65039,14559.65039,14439.54981,14526.16016,92680000,14526.16016
2013-03-28,14526.16016,14585.09961,14520.86035,14578.54004,153710000,14578.54004
2013-04-01,14578.54004,14605.71973,14531.48047,14572.84961,91400000,14572.84961
2013-04-02,14572.84961,14684.49023,14572.84961,14662.00977,98420000,14662.00977
2013-04-03,14662.00977,14683.12988,14525.36035,14550.34961,127140000,14550.34961
2013-04-04,14550.34961,14625.24023,14538.71973,14606.11035,104790000,14606.11035
2013-04-05,14606.11035,14606.11035,14434.42969,14565.25,131250000,14565.25
2013-04-08,14565.25,14613.48047,14497.79981,14613.48047,106680000,14613.48047
2013-04-09,14613.48047,14716.45996,14598.5,14673.45996,128580000,14673.45996
2013-04-10,14673.45996,14826.66016,14673.45996,14802.24023,120520000,14802.24023
2013-04-11,14802.24023,14887.50977,14785.36035,14865.13965,144570000,14865.13965
2013-04-12,14865.13965,14865.20996,14790.57031,14865.05957,119570000,14865.05957
2013-04-15,14865.05957,14865.05957,14598.58008,14599.2002,161680000,14599.2002
2013-04-16,14599.2002,14761.73047,14599.2002,14756.78027,126320000,14756.78027
2013-04-17,14756.78027,14756.78027,14560.80957,14618.58984,168010000,14618.58984
2013-04-18,14618.58984,14650.25977,14495.29004,14537.13965,158050000,14537.13965
2013-04-19,14537.13965,14553.73047,14444.03027,14547.50977,207200000,14547.50977
2013-04-22,14547.50977,14588.83008,14457.59961,14567.16992,146890000,14567.16992
2013-04-23,14567.16992,14721.41992,14554.29004,14719.45996,137320000,14719.45996
2013-04-24,14719.45996,14747.41992,14666.54004,14676.29981,138020000,14676.29981
2013-04-25,14676.29981,14768.04981,14665.4502,14700.79981,129600000,14700.79981
2013-04-26,14700.79981,14743.49023,14684.82031,14712.54981,128910000,14712.54981
2013-04-29,14712.54981,14844.95996,14712.54981,14818.75,97060000,14818.75
2013-04-30,14818.75,14839.79981,14734.46973,14839.79981,148250000,14839.79981
2013-05-01,14839.79981,14839.79981,14687.04981,14700.9502,112620000,14700.9502
2013-05-02,14700.9502,14834.62988,14700.9502,14831.58008,91180000,14831.58008
2013-05-03,14831.58008,15009.58984,14831.58008,14973.95996,119890000,14973.95996
2013-05-06,14973.95996,14988.87012,14941.08984,14968.88965,116160000,14968.88965
2013-05-07,14968.88965,15056.66992,14968.88965,15056.2002,117230000,15056.2002
2013-05-08,15056.2002,15106.80957,15021.87012,15105.12012,113510000,15105.12012
2013-05-09,15105.12012,15144.83008,15046.87012,15082.62012,97810000,15082.62012
2013-05-10,15082.62012,15118.49023,15038.17969,15118.49023,98980000,15118.49023
2013-05-13,15113.41992,15113.41992,15053.45996,15091.67969,94280000,15091.67969
2013-05-14,15091.67969,15219.54981,15089.29981,15215.25,124590000,15215.25
2013-05-15,15211.87012,15301.33984,15175.38965,15275.69043,124030000,15275.69043
2013-05-16,15273.91992,15302.49023,15215.82031,15233.21973,145090000,15233.21973
2013-05-17,15234.75,15357.40039,15234.75,15354.40039,175750000,15354.40039
2013-05-20,15348.33008,15391.83984,15314.15039,15335.28027,116420000,15335.28027
2013-05-21,15334.96973,15434.5,15325.67969,15387.58008,122970000,15387.58008
2013-05-22,15387.12012,15542.40039,15265.95996,15307.16992,171850000,15307.16992
2013-05-23,15300.57031,15348.41016,15180.23047,15294.5,148810000,15294.5
2013-05-24,15290.74023,15306.70996,15199.62988,15303.09961,105660000,15303.09961
2013-05-28,15307.33008,15521.49023,15307.33008,15409.38965,130680000,15409.38965
2013-05-29,15399.94043,15400.25,15229.53027,15302.79981,114020000,15302.79981
2013-05-30,15306.01953,15398.7002,15280.99023,15324.53027,121150000,15324.53027
2013-05-31,15322.21973,15392.37988,15115.57031,15115.57031,208830000,15115.57031
2013-06-03,15123.54981,15254.11035,15123.54981,15254.03027,147980000,15254.03027
2013-06-04,15255.21973,15304.98047,15100.78027,15177.54004,134280000,15177.54004
2013-06-05,15168.09961,15168.62988,14945.57031,14960.58984,141400000,14960.58984
2013-06-06,14955.4502,15040.62012,14844.21973,15040.62012,140410000,15040.62012
2013-06-07,15044.45996,15255.58008,15044.45996,15248.12012,137380000,15248.12012
2013-06-10,15247.80957,15300.63965,15211.25,15238.58984,94250000,15238.58984
2013-06-11,15231.37988,15251.07031,15086.08984,15122.01953,101610000,15122.01953
2013-06-12,15130.38965,15241.28027,14981.20996,14995.23047,105770000,14995.23047
2013-06-13,14992.54004,15202.26953,14953.4502,15176.08008,104490000,15176.08008
2013-06-14,15178.08008,15205.91992,15044.79981,15070.17969,107430000,15070.17969
2013-06-17,15078.70996,15261.70996,15078.70996,15179.84961,139250000,15179.84961
2013-06-18,15186.29981,15340.08984,15186.29981,15318.23047,99210000,15318.23047
2013-06-19,15315.46973,15322.07031,15112.11035,15112.19043,111380000,15112.19043
2013-06-20,15105.50977,15105.50977,14732.03027,14758.32031,172630000,14758.32031
2013-06-21,14760.62012,14858.55957,14688.42969,14799.40039,420080000,14799.40039
2013-06-24,14795.79004,14795.79004,14551.26953,14659.55957,158670000,14659.55957
2013-06-25,14669.69043,14812.03027,14669.69043,14760.30957,135940000,14760.30957
2013-06-26,14769.99023,14938.98047,14769.67969,14910.13965,133230000,14910.13965
2013-06-27,14921.28027,15075.00977,14921.28027,15024.49023,113650000,15024.49023
2013-06-28,15016.58008,15034.62988,14884.79981,14909.59961,230000000,14909.59961
2013-07-01,14911.59961,15083.28027,14911.59961,14974.95996,120570000,14974.95996
2013-07-02,14974.95996,15049.21973,14870.50977,14932.41016,116610000,14932.41016
2013-07-03,14923.73047,15025.90039,14858.92969,14988.37012,61000000,14988.37012
2013-07-05,14995.45996,15137.50977,14971.2002,15135.83984,94560000,15135.83984
2013-07-08,15137.21973,15262.71973,15137.21973,15224.69043,136820000,15224.69043
2013-07-09,15228.45996,15320.41992,15228.45996,15300.33984,109270000,15300.33984
2013-07-10,15298.03027,15348.9502,15258.88965,15291.66016,105050000,15291.66016
2013-07-11,15298,15483.54981,15298,15460.91992,124950000,15460.91992
2013-07-12,15460.69043,15498.38965,15410.26953,15464.29981,130140000,15464.29981
2013-07-15,15459.69043,15509.48047,15455.76953,15484.25977,99430000,15484.25977
2013-07-16,15485.03027,15498.16016,15415.70996,15451.84961,105970000,15451.84961
2013-07-17,15456.91992,15502,15438.12012,15470.51953,126240000,15470.51953
2013-07-18,15465.91016,15589.40039,15465.91016,15548.54004,136270000,15548.54004
2013-07-19,15524.26953,15544.54981,15491.95996,15543.74023,229260000,15543.74023
2013-07-22,15543.96973,15576.20996,15516.2002,15545.54981,180920000,15545.54981
2013-07-23,15547,15604.21973,15544.05957,15567.74023,98700000,15567.74023
2013-07-24,15576.69043,15602.59961,15496.83984,15542.24023,99320000,15542.24023
2013-07-25,15539.16992,15560.33008,15455.58984,15555.61035,103260000,15555.61035
2013-07-26,15547.84961,15560.96973,15405.16016,15558.83008,94880000,15558.83008
2013-07-29,15557.13965,15557.13965,15482.26953,15521.96973,87240000,15521.96973
2013-07-30,15534.49023,15593.91016,15479.12988,15520.58984,117550000,15520.58984
2013-07-31,15528.57031,15634.32031,15492.95996,15499.54004,145120000,15499.54004
2013-08-01,15503.84961,15650.69043,15503.84961,15628.01953,111040000,15628.01953
2013-08-02,15627.55957,15658.42969,15558.67969,15658.36035,104840000,15658.36035
2013-08-05,15651.98047,15655.20996,15584.83008,15612.12988,76850000,15612.12988
2013-08-06,15608.44043,15608.44043,15473.40039,15518.74023,87730000,15518.74023
2013-08-07,15516.20996,15516.20996,15421.75,15470.66992,88430000,15470.66992
2013-08-08,15477.26953,15557.12012,15418.59961,15498.32031,90990000,15498.32031
2013-08-09,15496.62988,15507.75977,15346.65039,15425.50977,81180000,15425.50977
2013-08-12,15415.21973,15441.75,15359.92969,15419.67969,78060000,15419.67969
2013-08-13,15420.67969,15504.13965,15342.33984,15451.00977,84790000,15451.00977
2013-08-14,15447.70996,15453.08008,15316.62012,15337.66016,91030000,15337.66016
2013-08-15,15332.70996,15332.70996,15094.03027,15112.19043,128340000,15112.19043
2013-08-16,15112.57031,15139.76953,15054.37988,15081.46973,151620000,15081.46973
2013-08-19,15076.79004,15106.38965,15005.41992,15010.74023,111660000,15010.74023
2013-08-20,15011.82031,15074.91992,14992.16016,15002.99023,102340000,15002.99023
2013-08-21,14993.80957,15019.7002,14880.83984,14897.54981,98340000,14897.54981
2013-08-22,14908.59961,14989.12012,14899,14963.74023,153490000,14963.74023
2013-08-23,14988.78027,15025.55957,14931.24023,15010.50977,131860000,15010.50977
2013-08-26,15014.58008,15049.98047,14945.24023,14946.45996,102820000,14946.45996
2013-08-27,14939.25,14939.25,14765.41992,14776.12988,118610000,14776.12988
2013-08-28,14770.99023,14867.40039,14760.41016,14824.50977,104620000,14824.50977
2013-08-29,14817.91016,14916.00977,14792.11035,14840.9502,93170000,14840.9502
2013-08-30,14844.09961,14848.24023,14762.34961,14810.30957,135850000,14810.30957
2013-09-03,14801.54981,14933.34961,14777.48047,14833.95996,142530000,14833.95996
2013-09-04,14832.41992,14956.74023,14799.08984,14930.87012,122150000,14930.87012
2013-09-05,14929.49023,14987.46973,14923.26953,14937.48047,101010000,14937.48047
2013-09-06,14941.54981,15009.83984,14789.40039,14922.5,108410000,14922.5
2013-09-09,14927.19043,15088.41016,14927.19043,15063.12012,90660000,15063.12012
2013-09-10,15067.23047,15192.12988,15067.23047,15191.05957,103200000,15191.05957
